Grievance,Category/Label
Delayed resolution of issues in Coal.,Coal
Concerns over lack of infrastructure in NITI Aayog.,NITI Aayog
Inadequate allocation of resources for Panchayati Raj.,Panchayati Raj
Delayed resolution of issues in Commerce.,Commerce
Poor services affecting Economic Affairs beneficiaries.,Economic Affairs
Non-compliance with regulations under Women and Child Development.,Women and Child Development
Need for better policy implementation in Civil Aviation.,Civil Aviation
Inadequate allocation of resources for Labour and Employment.,Labour and Employment
Request for improvements in Expenditure programs.,Expenditure
Delayed resolution of issues in Housing and Urban Affairs.,Housing and Urban Affairs
Non-compliance with regulations under Road Transport and Highways.,Road Transport and Highways
Insufficient support for Administrative Reforms and PG projects.,Administrative Reforms and PG
Urgent need for reform in Bio Technology sector.,Bio Technology
Need for better policy implementation in Justice.,Justice
Request for improvements in Agriculture Research and Education programs.,Agriculture Research and Education
Need for better policy implementation in Panchayati Raj.,Panchayati Raj
Challenges faced by users of Public Enterprises services.,Public Enterprises
Insufficient support for Health Research projects.,Health Research
Challenges faced by users of Labour and Employment services.,Labour and Employment
Delayed resolution of issues in External Affairs.,External Affairs
Delayed resolution of issues in Bio Technology.,Bio Technology
Poor services affecting Legal Affairs beneficiaries.,Legal Affairs
Delayed resolution of issues in Official Language.,Official Language
Inadequate allocation of resources for Science and Technology.,Science and Technology
Concerns over outdated policies in Land Resources.,Land Resources
Inadequate funding for O/o the Comptroller & Auditor General of India projects.,O/o the Comptroller & Auditor General of India
"Lack of proper training programs under Railways, ( Railway Board).","Railways, ( Railway Board)"
Delay in addressing grievances related to Scientific & Industrial Research.,Scientific & Industrial Research
"Lack of proper training programs under Railways, ( Railway Board).","Railways, ( Railway Board)"
Inadequate funding for Power projects.,Power
Poor management affecting outcomes in Agriculture Research and Education sector.,Agriculture Research and Education
Inadequate funding for Culture projects.,Culture
Request for modernization of facilities related to O/o the Comptroller & Auditor General of India.,O/o the Comptroller & Auditor General of India
Concerns over outdated policies in Development of North Eastern Region.,Development of North Eastern Region
Inadequate funding for Power projects.,Power
Non-utilization of allocated budgets for Posts.,Posts
Need for advanced technology adoption in Coal.,Coal
"Inadequate funding for Railways, ( Railway Board) projects.","Railways, ( Railway Board)"
Need for advanced technology adoption in Defence Finance.,Defence Finance
Lack of proper training programs under Petroleum and Natural Gas.,Petroleum and Natural Gas
Poor management affecting outcomes in Panchayati Raj sector.,Panchayati Raj
Unavailability of timely reports under NITI Aayog.,NITI Aayog
Concerns over outdated policies in Social Justice and Empowerment.,Social Justice and Empowerment
Lack of proper training programs under Heavy Industry.,Heavy Industry
Issues with public access to Financial Services (Banking Division) services.,Financial Services (Banking Division)
Unavailability of timely reports under Agriculture and Cooperation.,Agriculture and Cooperation
Lack of proper training programs under Shipping.,Shipping
Poor management affecting outcomes in Minority Affairs sector.,Minority Affairs
Lack of proper training programs under Public Enterprises.,Public Enterprises
Non-utilization of allocated budgets for Earth Sciences.,Earth Sciences
Poor management affecting outcomes in Corporate Affairs sector.,Corporate Affairs
Non-utilization of allocated budgets for Shipping.,Shipping
Poor management affecting outcomes in Shipping sector.,Shipping
Unavailability of timely reports under Financial Services (Pension Reforms).,Financial Services (Pension Reforms)
Request for modernization of facilities related to Panchayati Raj.,Panchayati Raj
Delay in addressing grievances related to O/o the Comptroller & Auditor General of India.,O/o the Comptroller & Auditor General of India
Delay in addressing grievances related to External Affairs.,External Affairs
Delay in addressing grievances related to Defence Production.,Defence Production
Request for modernization of facilities related to Tribal Affairs.,Tribal Affairs
Inadequate funding for Electronics & Information Technology projects.,Electronics & Information Technology
Need for advanced technology adoption in Commerce.,Commerce
Request for modernization of facilities related to Culture.,Culture
Issues with public access to Housing and Urban Affairs services.,Housing and Urban Affairs
Need for advanced technology adoption in Fertilizers.,Fertilizers
Poor management affecting outcomes in Labour and Employment sector.,Labour and Employment
Unavailability of timely reports under Earth Sciences.,Earth Sciences
Lack of proper training programs under Central Board of Direct Taxes (Income Tax).,Central Board of Direct Taxes (Income Tax)
Inadequate funding for Statistics and Programme Implementation projects.,Statistics and Programme Implementation
Concerns over outdated policies in Minority Affairs.,Minority Affairs
Concerns over outdated policies in Commerce.,Commerce
Non-utilization of allocated budgets for Economic Affairs.,Economic Affairs
Delay in addressing grievances related to Panchayati Raj.,Panchayati Raj
Non-utilization of allocated budgets for Empowerment of Persons with Disabilities.,Empowerment of Persons with Disabilities
Inadequate funding for Women and Child Development projects.,Women and Child Development
Request for modernization of facilities related to Steel.,Steel
Delay in addressing grievances related to Unique Identification Authority of India.,Unique Identification Authority of India
Request for modernization of facilities related to Land Resources.,Land Resources
"Lack of proper training programs under Environment, Forest and Climate Change.","Environment, Forest and Climate Change"
Poor management affecting outcomes in Social Justice and Empowerment sector.,Social Justice and Empowerment
Issues with public access to Home Affairs services.,Home Affairs
Lack of proper training programs under Skill Development and Entrepreneurship.,Skill Development and Entrepreneurship
Delay in addressing grievances related to NITI Aayog.,NITI Aayog
Unavailability of timely reports under Investment & Public Asset Management.,Investment & Public Asset Management
Request for modernization of facilities related to Corporate Affairs.,Corporate Affairs
Request for modernization of facilities related to Defence Finance.,Defence Finance
Non-utilization of allocated budgets for Petroleum and Natural Gas.,Petroleum and Natural Gas
Poor management affecting outcomes in Economic Affairs sector.,Economic Affairs
Need for advanced technology adoption in Textiles.,Textiles
Request for modernization of facilities related to Pharmaceutical.,Pharmaceutical
Request for modernization of facilities related to Fisheries.,Fisheries
Lack of proper training programs under Higher Education.,Higher Education
"Unavailability of timely reports under Animal Husbandry, Dairying.","Animal Husbandry, Dairying"
Non-utilization of allocated budgets for O/o the Comptroller & Auditor General of India.,O/o the Comptroller & Auditor General of India
Non-utilization of allocated budgets for Commerce.,Commerce
Concerns over outdated policies in NITI Aayog.,NITI Aayog
Inadequate funding for Health & Family Welfare projects.,Health & Family Welfare
Poor management affecting outcomes in Defence Production sector.,Defence Production
Lack of proper training programs under School Education and Literacy.,School Education and Literacy
Non-utilization of allocated budgets for Health & Family Welfare.,Health & Family Welfare
Delay in addressing grievances related to Expenditure.,Expenditure
Delay in addressing grievances related to Information and Broadcasting.,Information and Broadcasting
Need for advanced technology adoption in Justice.,Justice
Non-utilization of allocated budgets for Central Board of Direct Taxes (Income Tax).,Central Board of Direct Taxes (Income Tax)
Lack of proper training programs under Posts.,Posts
Poor management affecting outcomes in Tribal Affairs sector.,Tribal Affairs
Unavailability of timely reports under Labour and Employment.,Labour and Employment
Inadequate funding for Health & Family Welfare projects.,Health & Family Welfare
Request for modernization of facilities related to Telecommunications.,Telecommunications
"Issues with public access to Environment, Forest and Climate Change services.","Environment, Forest and Climate Change"
Concerns over outdated policies in Telecommunications.,Telecommunications
Need for advanced technology adoption in Fertilizers.,Fertilizers
Inadequate funding for Agriculture and Cooperation projects.,Agriculture and Cooperation
Request for modernization of facilities related to Mines.,Mines
"Lack of proper training programs under Railways, ( Railway Board).","Railways, ( Railway Board)"
Request for modernization of facilities related to Earth Sciences.,Earth Sciences
Request for modernization of facilities related to Agriculture Research and Education.,Agriculture Research and Education
"Lack of proper training programs under Animal Husbandry, Dairying.","Animal Husbandry, Dairying"
Request for modernization of facilities related to Social Justice and Empowerment.,Social Justice and Empowerment
Delay in addressing grievances related to Parliamentary Affairs.,Parliamentary Affairs
Delay in addressing grievances related to Agriculture Research and Education.,Agriculture Research and Education
Request for modernization of facilities related to Expenditure.,Expenditure
Lack of proper training programs under Minority Affairs.,Minority Affairs
Lack of proper training programs under Ex Servicemen Welfare.,Ex Servicemen Welfare
Lack of proper training programs under Ayush.,Ayush

